#test_name insert_ns delete_ns lookup_ns caller_ns total_ns
eb64-l1 190.150 21.147 153.861 69.970 435.128
ceb64-l1 207.387 188.927 166.994 45.938 609.246
ebmb-l1 211.898 14.771 184.809 51.587 463.065
cebb-l1 202.464 195.461 143.125 62.600 603.65
ebst-l1 254.401 17.423 228.830 65.059 565.713
cebs-l1 225.903 212.015 174.045 72.179 684.142
ebu64-l1 213.180 19.013 146.251 68.944 447.388
cebu64-l1 243.590 182.534 159.051 49.506 634.681
ebumb-l1 241.991 12.488 171.236 49.150 474.865
cebub-l1 245.112 187.755 153.211 62.024 648.102
ebust-l1 284.873 19.139 208.257 71.250 583.519
cebus-l1 265.818 223.558 192.050 70.535 751.961
